round_epochs,loss,mae,val_loss,val_mae,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
50,0.09557151794433593,0.22340995073318481,0.053073227405548096,0.14930672943592072,32,0,50,32,64,AdaDelta
50,0.0010949332499876618,0.0226303581148386,0.0011029692832380533,0.024131547659635544,32,0,50,32,64,adam
50,0.0965731143951416,0.22767357528209686,0.05423919856548309,0.15449301898479462,32,0,50,32,128,AdaDelta
7,0.016087092459201813,0.10984772443771362,0.016809534281492233,0.12481748312711716,32,0,50,32,128,adam
50,0.0978936180472374,0.2313629388809204,0.05528917536139488,0.15855267643928528,32,0,50,64,64,AdaDelta
8,0.013685435056686401,0.10534073412418365,0.014866659417748451,0.11678341031074524,32,0,50,64,64,adam
50,0.09404576569795609,0.22451847791671753,0.05277093127369881,0.15226571261882782,32,0,50,64,128,AdaDelta
7,0.013885578140616417,0.10619691759347916,0.014374902471899986,0.11407260596752167,32,0,50,64,128,adam
50,0.09850595146417618,0.22984075546264648,0.055256977677345276,0.15575963258743286,32,0,50,128,64,AdaDelta
7,0.014799478463828564,0.10911574959754944,0.015585456043481827,0.11883547157049179,32,0,50,128,64,adam
50,0.09614329040050507,0.22724570333957672,0.05398450791835785,0.15413318574428558,32,0,50,128,128,AdaDelta
5,0.01443536952137947,0.1083020269870758,0.016263319179415703,0.11905370652675629,32,0,50,128,128,adam
50,0.09455350786447525,0.22294270992279053,0.05265127122402191,0.1494961678981781,32,0,50,256,64,AdaDelta
50,0.0009357379167340696,0.02098916843533516,0.0008679709280841053,0.020932022482156754,32,0,50,256,64,adam
50,0.09292422980070114,0.22212699055671692,0.051978159695863724,0.14990423619747162,32,0,50,256,128,AdaDelta
50,0.0008261479088105261,0.019662722945213318,0.0007228750037029386,0.018450871109962463,32,0,50,256,128,adam
100,0.09944818913936615,0.23078720271587372,0.055663298815488815,0.15613007545471191,32,0,100,32,64,AdaDelta
100,0.001033777603879571,0.022748850286006927,0.0011120635317638516,0.024384131655097008,32,0,100,32,64,adam
100,0.09657344967126846,0.22617442905902863,0.054099999368190765,0.15236905217170715,32,0,100,32,128,AdaDelta
