round_epochs,loss,MSE,val_loss,val_MSE,batch_size,dropout,epochs,layer1_size,layer2_size,optimizer
200,0.21089406311511993,0.08235418796539307,0.13473659753799438,0.04289396107196808,32,0,200,32,16,AdaDelta
200,0.015567414462566376,0.000680760364048183,0.009725645184516907,0.00017112972273025662,32,0,200,32,16,adam
200,0.21902327239513397,0.08738981187343597,0.14123393595218658,0.04575095698237419,32,0,200,32,32,AdaDelta
200,0.013256609439849854,0.00044278320274315774,0.011233020573854446,0.0002234484563814476,32,0,200,32,32,adam
200,0.21702954173088074,0.08810441195964813,0.1375647485256195,0.045855697244405746,32,0,200,32,64,AdaDelta
200,0.013971492648124695,0.0005497672827914357,0.008204370737075806,0.0001415689621353522,32,0,200,32,64,adam
200,0.2164539396762848,0.08697427064180374,0.13799870014190674,0.04542882740497589,32,0,200,32,128,AdaDelta
200,0.014251927845180035,0.0005669273668900132,0.010123440064489841,0.00019709313346538693,32,0,200,32,128,adam
200,0.22780902683734894,0.09492117166519165,0.1460278481245041,0.049813833087682724,32,0,200,64,16,AdaDelta
200,0.015226473100483418,0.0006704291445203125,0.008937472477555275,0.0001454860612284392,32,0,200,64,16,adam
200,0.21284718811511993,0.08467544615268707,0.13519790768623352,0.04413672909140587,32,0,200,64,32,AdaDelta
200,0.012711947783827782,0.0004871056298725307,0.008465129882097244,0.00012744558625854552,32,0,200,64,32,adam
200,0.2200109213590622,0.09011999517679214,0.13978834450244904,0.04693009331822395,32,0,200,64,64,AdaDelta
200,0.013032463379204273,0.000514842162374407,0.010441762395203114,0.0001833979767980054,32,0,200,64,64,adam
200,0.21255025267601013,0.0862969309091568,0.13388551771640778,0.04470771551132202,32,0,200,64,128,AdaDelta
200,0.013349381275475025,0.0005612867535091937,0.010660648345947266,0.0002624060434754938,32,0,200,64,128,adam
200,0.22510278224945068,0.0925401896238327,0.144754558801651,0.04849734902381897,32,0,200,128,16,AdaDelta
200,0.012683503329753876,0.000475963024655357,0.008751802146434784,0.00014264392666518688,32,0,200,128,16,adam
200,0.22018547356128693,0.08876045048236847,0.1416875571012497,0.04652005806565285,32,0,200,128,32,AdaDelta
200,0.011305367574095726,0.00037098111351951957,0.010238311253488064,0.00022075734159443527,32,0,200,128,32,adam
200,0.21508879959583282,0.0864008367061615,0.13648149371147156,0.04497188329696655,32,0,200,128,64,AdaDelta
200,0.012398222461342812,0.00042416536598466337,0.010625429451465607,0.0002272822748636827,32,0,200,128,64,adam
200,0.2209504097700119,0.09072533249855042,0.14043740928173065,0.04738061502575874,32,0,200,128,128,AdaDelta
200,0.0116450609639287,0.00039587594801560044,0.010400648228824139,0.00021112369722686708,32,0,200,128,128,adam
200,0.22245976328849792,0.09141950309276581,0.14203332364559174,0.047746703028678894,32,0,200,256,16,AdaDelta
200,0.013268081471323967,0.0005431239260360599,0.010039121843874454,0.0001991394819924608,32,0,200,256,16,adam
200,0.21558387577533722,0.08697140216827393,0.13656571507453918,0.04526946321129799,32,0,200,256,32,AdaDelta
200,0.01276898942887783,0.00042321422370150685,0.010019080713391304,0.00019763392629101872,32,0,200,256,32,adam
200,0.21649453043937683,0.08741500228643417,0.13759306073188782,0.04556373134255409,32,0,200,256,64,AdaDelta
200,0.012728996574878693,0.00041369599057361484,0.009846623055636883,0.0002050461625913158,32,0,200,256,64,adam
200,0.21265318989753723,0.08618731051683426,0.1338619887828827,0.04455700144171715,32,0,200,256,128,AdaDelta
